SKU;Name;Color;Category;Category position;Brand;Seller;Balance;Comments;Rating;Final Price;Min price;Max price;Average price;Base price;Basic Sale;Basic Sale Price;Promo Sale;SPP;SPP Price;Revenue potential;Lost profit;Lost profit percent;Days in stock;Days with sales;Average if in stock;Sales;Sales per day average;Revenue
169617;Кеды;белый;Обувь/Мужская/Кеды и кроссовки/Кеды;293;Converse;ООО Орбико Стайл;12;281;4;4488;4488;6800;4569.1228070175;4488;34;6800;0;5;4263;355145;94705;26.666666666667;22;15;2.4545454545455;57;1.9;260440
171518;Джинсы Texas;темно-синий;Мужчинам/Одежда/Джинсы;1266;Wrangler;ООО Вайлдберриз;59;180;4;3804;3461;3804;3707.1538461538;3804;40;6340;0;5;3613;96386;0;0;30;14;0.86666666666667;26;0.86666666666667;96386
171934;Трусы макси DU1007 (Корректирующие трусы с завышенной линией талии);белый;Женщинам/Будущие мамы/Белье и купальники/Трусы;-1;Vis-a-vis;ИП Нейман Михаил Игоревич;9;209;4;421;421;421;421;421;32;620;0;2;413;1684;0;0;30;4;0.13333333333333;4;0.13333333333333;1684
175686;Статуэтка "Девушка";кремовый, черный;Женщинам/Подарки женщинам/Подруге/Статуэтка;130;Pavone;ИП Дабагян Вилен Артурович;1;11;4;3950;3474;4811;3742;4158;30;5940;5;5;3752;3742;0;0;30;1;0.033333333333333;1;0.033333333333333;3742
175716;Кеды Chuck Taylor As Core;красный;Обувь/Мужская/Кеды и кроссовки/Кеды;124;Converse;ООО Орбико Стайл;87;207;4;6800;6800;6800;6800;6800;0;6800;0;5;6460;853090;540290;63.333333333333;11;11;4;46;1.5333333333333;312800
175717;Кеды;серо-голубой;Обувь/Мужская/Кеды и кроссовки/Кеды;26;Converse;ООО Орбико Стайл;47;152;4;6800;6800;6800;6800;6800;0;6800;0;5;6460;1740800;870400;50;15;16;8;128;4.2666666666667;870400
176013;Юбка;золотистый;Женщинам/Одежда/Юбки;-1;Killah;ООО Вайлдберриз;2;6;3;2194;2194;2194;0;2194;45;3990;0;5;2084;0;0;0;30;0;0;0;0;0
178164;Набор Динозавры (с когтями) Collecta;коричневый;Игрушки/Фигурки и роботы/Фигурка-игрушка;9164;Gulliver;ООО Вайлдберриз;9;0;0;770;770;1170;770;770;50;1540;0;2;754;1540;0;0;30;2;0.066666666666667;2;0.066666666666667;1540
178176;Фигурка"Тираннозавр Рекс";зеленый;Игрушки/Фигурки и роботы/Фигурка-игрушка;-1;Gulliver;ООО Вайлдберриз;1;0;0;1048;1048;1971;0;1048;50;2097;0;2;1027;0;0;0;30;0;0;0;0;0
178273;Робот;красный;Игрушки/Фигурки и роботы/Робот;1373;Hap-P-Kid;ООО Вайлдберриз;22;13;3;415;373;664;0;415;50;830;0;2;406;0;0;0;30;0;0;0;0;0
178337;Набор "Герои Марса";серый, красный, белый;Игрушки/Фигурки и роботы/Фигурка-игрушка;7527;Hap-P-Kid;ООО Вайлдберриз;30;15;4;346;283;409;393.5;346;45;630;0;2;339;787;0;0;30;2;0.066666666666667;2;0.066666666666667;787
178709;Кукольный домик;бежевый, красный;Игрушки/Куклы и аксессуары/Кукольный домик;6;Sylvanian Families;ООО Вайлдберриз;539;300;4;8499;5949;8499;7316.3913043478;8499;0;8499;0;5;8074;504831;0;0;30;17;2.3;69;2.3;504831
178720;Игровой телефон;коричневый, золотистый;Игрушки/Развивающие игрушки/Игровой телефон;-1;Sylvanian Families;ООО Эпоха Чудес;0;57;5;524;524;749;533.375;524;30;749;0;2;513;17455;4654;26.666666666667;22;15;1.0454545454545;24;0.8;12801
178872;Ежик мягкая игрушка 33см / плюшевая игрушка/ игрушка подушка/ игрушка в подарок/ хит продаж;коричневый, бежевый;Игрушки/Мягкие игрушки;1544;Gulliver;ООО Вайлдберриз;33;62;5;1556;1415;2264;1697.8;1556;45;2830;0;2;1525;8489;0;0;30;5;0.16666666666667;5;0.16666666666667;8489
178964;Мягкая игрушка Белый медведь 43см /белый мишка/плюшевый мишка/игрушка подушка/подарок на праздник;белый;Игрушки/Мягкие игрушки;-1;Gulliver;ООО Вайлдберриз;1;33;4;701;526;701;547.75;701;20;877;0;5;666;2629;438;16.666666666667;25;4;0.16;4;0.13333333333333;2191
181002;Халат домашний;черный;Женщинам/Одежда для дома/Халат домашний;-1;Mia-Mia;ООО Вайлдберриз;0;24;4;1030;1030;1030;1030;1030;0;1030;0;5;978;0;0;0;0;1;0;1;0.033333333333333;1030
193774;Туфли;черный;Обувь/Мужская/Туфли и лоферы/Туфли;-1;Ralf Ringer;ООО Ральф Рингер Ритейл;0;43;5;2601;1530;2601;2601;2601;15;3060;0;5;2470;19507;16906;86.666666666667;4;1;0;1;0.033333333333333;2601
193781;Ботинки;черный;Обувь/Мужская/Ботинки и полуботинки/Ботинки;6201;Ralf Ringer;ООО Ральф Рингер Ритейл;2;57;4;2603;2192;2740;2575.6;2603;5;2740;0;4;2498;42926;30048;70;9;4;0.22222222222222;5;0.16666666666667;12878
194766;Детский комбинезон слип для новорожденных девочек / Комбинезоны нательные для малышей / Велюр;розовый;Детям/Для новорожденных/Комбинезоны и полукомбинезоны/Комбинезон для малыша;478;Lucky Child;ЗАО Лаки Чайлд;115;88;5;759;759;759;759;843;57;1962;10;5;721;81213;0;0;30;28;3.5666666666667;107;3.5666666666667;81213
194768;Детский комбинезон слип для новорожденных мальчиков / Комбинезоны нательные для малышей / Велюр;голубой;Детям/Для новорожденных/Комбинезоны и полукомбинезоны/Комбинезон для малыша;1655;Lucky Child;ЗАО Лаки Чайлд;72;105;5;867;867;867;867;964;52;2009;10;5;824;25143;0;0;30;13;0.96666666666667;29;0.96666666666667;25143
194769;Детский комбинезон для новорожденных мальчиков / Комбинезоны для малышей на подкладе / Велюр;темно-синий;Детям/Для новорожденных/Комбинезоны и полукомбинезоны/Комбинезон для малыша;2548;Lucky Child;ЗАО Лаки Чайлд;55;104;4;781;781;781;781;868;47;1639;10;5;742;10153;0;0;30;11;0.43333333333333;13;0.43333333333333;10153
194774;Детский комбинезон слип для новорожденных мальчиков / Комбинезоны нательные для малышей на подкладке;светло-зеленый;Детям/Для новорожденных/Комбинезоны и полукомбинезоны/Комбинезон для малыша;8849;Lucky Child;ЗАО Лаки Чайлд;2;86;5;849;849;901;875;944;67;2861;10;5;807;3500;0;0;30;4;0.13333333333333;4;0.13333333333333;3500
203976;Топ;светло-бирюзовый;Женщинам/Одежда/Футболки и топы/Топ;-1;La Reine Blanche;ООО Вайлдберриз;1;1;3;516;516;516;0;516;60;1290;0;2;505;0;0;0;30;0;0;0;0;0
204836;Зеркальце;золотистый;Женщинам/Подарки женщинам/Подруге/Зеркальце;71;Win;ИП Дабагян Вилен Артурович;2;0;0;3471;2088;3758;0;3654;30;5220;5;5;3297;0;0;0;30;0;0;0;0;0
